Title,Author
Introduction to Automata,Hopcroft
Fundamentals of Cooking,Ramsey
Python for Beginners,Downey
Harry Potter,Rowling
Blood Meridian,McCarthy
House of Leaves,Danielewski
Algorithms Unlocked,Cormen
The Art of Computer Programming,Knuth
History of Ancient Rome,Beard
The History of Science and Technology,Porter
Cooking Masterclass,Oliver
Baking for Beginners,Child
Introduction to Python Programming,Lutz
War and Civilization,Keegan
A Brief History of Computing,Ceruzzi
The Science of Cooking,McGee
Meditations,Aurelius
The Great Gatsby,Fitzgerald
To Kill a Mockingbird,Lee
Introduction to Algorithms and Data Structures,Weiss
Python Programming Handbook,Van Rossum
World War II History,Churchill
The Roman Empire and Civilization,Gibbon
Professional Cooking Guide,Peterson
Unknown Title XYZ,Anonymous
